entitlement_id,cust_id,product_id,feature_id,month,is_active,usage_events,active_users
E00001,C0074,P0464,F01859,2025-08-01,True,526,9
E00001,C0074,P0464,F01859,2025-09-01,True,304,9
E00001,C0074,P0464,F01859,2025-10-01,True,1022,18
E00001,C0074,P0464,F01859,2025-11-01,True,248,15
E00001,C0074,P0464,F01859,2025-12-01,True,439,2
E00001,C0074,P0464,F01859,2026-01-01,True,147,13
E00001,C0074,P0464,F01859,2026-02-01,True,960,9
E00001,C0074,P0464,F01859,2026-03-01,True,232,11
E00001,C0074,P0464,F01859,2026-04-01,True,221,8
E00001,C0074,P0464,F01859,2026-05-01,True,362,4
E00001,C0074,P0464,F01859,2026-06-01,True,653,4
E00001,C0074,P0464,F01859,2026-07-01,True,104,12
E00001,C0074,P0464,F01860,2025-08-01,False,0,0
E00001,C0074,P0464,F01860,2025-09-01,False,0,0
E00001,C0074,P0464,F01860,2025-10-01,False,0,0
E00001,C0074,P0464,F01860,2025-11-01,False,0,0
E00001,C0074,P0464,F01860,2025-12-01,False,0,0
E00001,C0074,P0464,F01860,2026-01-01,False,0,0
E00001,C0074,P0464,F01860,2026-02-01,False,0,0
E00001,C0074,P0464,F01860,2026-03-01,False,0,0
E00001,C0074,P0464,F01860,2026-04-01,False,0,0
E00001,C0074,P0464,F01860,2026-05-01,False,0,0
E00001,C0074,P0464,F01860,2026-06-01,False,0,0
E00001,C0074,P0464,F01860,2026-07-01,False,0,0
E00001,C0074,P0464,F01735,2025-08-01,True,0,0
E00001,C0074,P0464,F01861,2025-09-01,False,0,0
E00001,C0074,P0464,F01861,2025-10-01,False,0,0
E00001,C0074,P0464,F01861,2025-11-01,False,0,0
E00001,C0074,P0464,F01861,2025-12-01,False,0,0
E00001,C0074,P0464,F01861,2026-01-01,False,0,0
E00001,C0074,P0464,F01861,2026-02-01,False,0,0
E00001,C0074,P0464,F01861,2026-03-01,False,0,0
E00001,C0074,P0464,F01861,2026-04-01,False,0,0
E00001,C0074,P0464,F01861,2026-05-01,False,0,0
E00001,C0074,P0464,F01861,2026-06-01,False,0,0
E00001,C0074,P0464,F01861,2026-07-01,False,0,0
E00001,C0074,P0464,F01862,2025-08-01,True,618,12
E00001,C0074,P0464,F00910,2025-09-01,True,334,8
E00001,C0074,P0464,F01862,2025-10-01,True,250,21
E00001,C0074,P0464,F01862,2025-11-01,True,466,8
E00001,C0074,P0464,F01862,2025-12-01,True,206,16
E00001,C0074,P0464,F01862,2026-01-01,True,744,20
E00001,C0074,P0464,F01862,2026-02-01,True,176,8
E00001,C0074,P0464,F01862,2026-03-01,True,246,9
E00001,C0074,P0464,F01862,2026-04-01,True,649,25
E00001,C0074,P0464,F01862,2026-05-01,True,479,6
E00001,C0074,P0464,F01862,2026-06-01,True,356,28
E00001,C0074,P0464,F01862,2026-07-01,True,391,8
E00002,C0013,P0405,F01621,2025-06-01,True,307,14
E00002,C0013,P0405,F01621,2025-07-01,True,181,7
E00002,C0013,P0405,F01621,2025-08-01,True,692,13
E00002,C0013,P0405,F01621,2025-09-01,True,394,20
E00002,C0013,P0405,F01621,2025-10-01,True,201,8
E00002,C0013,P0405,F01621,2025-11-01,True,457,13
E00002,C0013,P0405,F01621,2025-12-01,True,93,8
E00002,C0013,P0405,F01621,2026-01-01,True,322,14
E00002,C0013,P0405,F01621,2026-02-01,True,444,10
E00002,C0013,P0405,F01621,2026-03-01,True,47,10
E00002,C0013,P0405,F01622,2025-06-01,False,0,0
E00002,C0013,P0405,F01622,2025-07-01,False,0,0
E00002,C0013,P0405,F01622,2025-08-01,False,0,0
E00002,C0013,P0405,F01622,2025-09-01,False,0,0
E00002,C0013,P0405,F01622,2025-10-01,False,0,0
E00002,C0013,P0405,F01622,2025-11-01,False,0,0
E00002,C0013,P0405,F01622,2025-12-01,False,0,0
